Date,Close,High,Low,Open,Volume,Daily Return,7-Day MA,52-Week High,52-Week Low
2024-04-12,3752.555908203125,3763.762930025122,3700.1323779568356,3724.0465524943843,4354821,0.007655477799987492,3729.1373116629466,3990.1494293194514,2823.6168077969783
2024-04-15,3696.099365234375,3811.450077595125,3675.326950485817,3752.555521752734,4200329,-0.015044722507393993,3728.320068359375,3990.1494293194514,2823.6168077969783
2024-04-16,3631.953857421875,3684.3773916573496,3622.622685379883,3659.337888086539,3051420,-0.007483329362346191,3710.8366350446427,3990.1494293194514,2823.6168077969783
2024-04-18,3621.8251953125,3691.2231923226304,3610.571466067614,3635.7048405060677,3476284,-0.0038175940573976237,3695.128348214286,3990.1494293194514,2823.6168077969783
2024-04-19,3588.2509765625,3612.962378176155,3564.5243218990936,3599.317187756726,2957749,-0.0030745307003973953,3675.5213448660716,3990.1494293194514,2823.6168077969783
2024-04-22,3624.263427734375,3636.8299998951316,3574.934491903105,3598.379760081903,1728883,0.007193145075905739,3664.5422712053573,3990.1494293194514,2823.6168077969783
2024-04-23,3633.735107421875,3652.772710601142,3620.5121138030436,3635.9390541705266,1807586,-0.0006061561307315012,3649.8119768415177,3990.1494293194514,2823.6168077969783
2024-04-24,3592.799560546875,3655.585938193527,3586.6099186323313,3648.083452943258,1317312,-0.015154229093027017,3626.9896414620534,3990.1494293194514,2823.6168077969783
2024-04-25,3612.634033203125,3632.7500252586483,3573.996281358353,3574.1837976912666,2856271,0.010757766720529376,3615.0660226004466,3990.1494293194514,2824.7662376900453
2024-04-26,3583.703125,3635.7046841917695,3566.07223748283,3615.400944510773,2039178,-0.00876744239360218,3608.1730608258927,3990.1494293194514,2824.7662376900453
2024-04-29,3629.514892578125,3636.6423454168485,3581.6865473099597,3599.3174341023114,1110693,0.008389773624772005,3609.2715890066966,3990.1494293194514,2830.7439153761175
2024-04-30,3583.046630859375,3640.346960554097,3573.059037730691,3631.2033055362826,2203078,-0.013261905386428236,3608.5281110491073,3990.1494293194514,2851.7124977803655
